"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
155884,"TAVICE","65DF","China",163.84,"LCD",130.03,"Available",4.5,64.503808,"65"
155890,"Kodak","KD65G11","China",163.132,"LCD",94.65,"Available",6,64.2250684,"65"
155910,"JVC","AV-J323142A","China",80.039,"LCD",39,"Available",4.5,31.5113543,"30"
155912,"BAUHN","ATV40FHDG-1123","China",100.305,"LCD (LED)",40,"Available",6,39.4900785,"40"
155953,"FFALCON","FF65U63","China",163.829,"LCD (LED)",73.5,"Available",6,64.4994773,"65"
155955,"FFALCON","FF75U63","China",189.306,"LCD (LED)",123.8,"Available",5.5,74.5297722,"75"
155956,"FFALCON","FF43U63","China",107.95,"LCD (LED)",43.6,"Available",5.5,42.499915,"40"
156005,"SAMSUNG ELECTRONICS","QA65QE1CAW","Vietnam",163.897,"LCD (LED)",112,"Available",5.5,64.5262489,"65"
156005,"SAMSUNG ELECTRONICS","QA65QE1CAS","Vietnam",163.897,"LCD (LED)",112,"Available",5.5,64.5262489,"65"
156005,"SAMSUNG ELECTRONICS","QA65QE1CA*","Vietnam",163.897,"LCD (LED)",112,"Available",5.5,64.5262489,"65"
156025,"TCL","50C845","China",125.638,"LCD (LED)",91.4,"Available",3.5,49.4636806,"50"
156044,"EKO","K400FAT","China",100.36,"LCD (LED)",54.48,"Available",4.5,39.511732,"40"
156077,"EKO","K240HGT","China",59.774,"LCD",20.94,"Available",5,23.5330238,"25"
156156,"KOGAN","KALED65R94KA","China",163.916,"LCD (LED)",86.9,"Available",6,64.5337292,"65"
156156,"KOGAN","KALED65R94KB","China",163.916,"LCD (LED)",86.9,"Available",6,64.5337292,"65"
156156,"KOGAN","KALED65R94KC","China",163.916,"LCD (LED)",86.9,"Available",6,64.5337292,"65"
156156,"KOGAN","KALED65R94KD","China",163.916,"LCD (LED)",86.9,"Available",6,64.5337292,"65"
156156,"KOGAN","KALED65R94K*","China",163.916,"LCD (LED)",86.9,"Available",6,64.5337292,"65"
156284,"HISENSE","75UXAU","China",189.34,"LCD (LED)",181.25,"Available",4,74.543158,"75"
156284,"HISENSE","75UXNZ","China",189.34,"LCD (LED)",181.25,"Available",4,74.543158,"75"
156284,"HISENSE","75UX series","China",189.34,"LCD (LED)",181.25,"Available",4,74.543158,"75"
156285,"HISENSE","85UXAU","China",214.783,"LCD (LED)",202.84,"Available",5,84.5600671,"85"
156285,"HISENSE","85UXNZ","China",214.783,"LCD (LED)",202.84,"Available",5,84.5600671,"85"
156285,"HISENSE","85UX series","China",214.783,"LCD (LED)",202.84,"Available",5,84.5600671,"85"
156286,"HISENSE","70A6KAU","China",176.57,"LCD (LED)",104.78,"Available",6,69.515609,"70"
156287,"HISENSE","58A6KAU","China",146.068,"LCD (LED)",73.72,"Available",6,57.50697160000001,"60"
156317,"Linsar","LS86UHDNF23","China",217.425,"LCD",169.97,"Available",6,85.6002225,"85"
156324,"JVC","AV-JQ757115A","China",189.34,"LCD (LED)",117.5,"Available",6,74.543158,"75"
156356,"EKO","K500UAT","China",125.725,"LCD",66.62,"Available",5.5,49.4979325,"50"
156367,"TCL","98C845","China",247.604,"LCD (LED)",197.4,"Available",5.5,97.4816948,"95"
156394,"JVC","AV-J987145A","China",249.606,"LCD (LED)",237.4,"Available",5.5,98.2698822,"100"
156395,"Panasonic","TH-43NX800Z","China",108.124,"LCD (LED)",51.888,"Available",5,42.568418799999996,"45"
156427,"Panasonic","TH-55NX800Z","China",138.798,"LCD (LED)",83.91,"Available",5,54.6447726,"55"
156428,"Panasonic","TH-65NX800Z","China",163.867,"LCD",113.136,"Available",5,64.51443789999999,"65"
156434,"Panasonic","TH-75NX800Z","China",189.306,"LCD (LED)",98.826,"Available",6,74.5297722,"75"
156435,"Panasonic","TN-43W70AGZ","China",108.124,"LCD (LED)",42.804,"Available",6,42.568418799999996,"45"
156436,"Panasonic","TN-50W70AGZ","China",125.676,"LCD (LED)",54.39,"Available",6,49.4786412,"50"
156438,"Panasonic","TN-55W70AGZ","China",138.798,"LCD (LED)",62.358,"Available",6,54.6447726,"55"
156441,"Panasonic","TN-65W70AGZ","China",163.867,"LCD (LED)",75.576,"Available",6,64.51443789999999,"65"
156442,"Panasonic","TN-75W70AGZ","China",189.306,"LCD (LED)",102.546,"Available",6,74.5297722,"75"
156443,"Panasonic","TN-85W80AGZ","China",217.086,"LCD (LED)",119.346,"Available",7,85.4667582,"85"
156520,"SAMSUNG ELECTRONICS","UA85CU7000S","Vietnam",214.783,"LCD (LED)",145,"Available",6,84.5600671,"85"
156520,"SAMSUNG ELECTRONICS","UA85CU7100S","Vietnam",214.783,"LCD (LED)",145,"Available",6,84.5600671,"85"
156520,"SAMSUNG ELECTRONICS","UA85CU7*00S","Vietnam",214.783,"LCD (LED)",145,"Available",6,84.5600671,"85"
156521,"AKAI","AK3223S7WOS","China",80.054,"LCD",23.5,"Available",6,31.5172598,"30"
156532,"EKO","K650UAT","China",163.878,"LCD",147.21,"Available",4,64.51876859999999,"65"
156532,"EKO","K650UATW","China",163.878,"LCD",147.21,"Available",4,64.51876859999999,"65"
156534,"EKO","K550UAT","China",138.798,"LCD",110.12,"Available",4,54.6447726,"55"
156534,"EKO","K550UATW","China",138.798,"LCD",110.12,"Available",4,54.6447726,"55"
156535,"EKO","K550UGT2","China",138.798,"LCD",94.96,"Available",4.5,54.6447726,"55"
156536,"BLAUPUNKT","BP550USG98","China",138.798,"LCD",94.96,"Available",4.5,54.6447726,"55"
156634,"BLAUPUNKT","BP750USG9800","China",188.424,"LCD",221.6,"Available",3.5,74.1825288,"75"
156641,"PHILIPS","75HFL5214U/97","China",189.306,"LCD (LED)",99.7,"Available",6,74.5297722,"75"
156661,"JVC","LT-50NQ7145A","China",125.725,"LCD",112.52,"Available",3,49.4979325,"50"
156684,"KOGAN","KALED40R94KA","China",100.333,"LCD (LED)",40.7,"Available",5.5,39.5011021,"40"
